"filename", "language", "JSON with Comments", "JavaScript", "CSS", "HTML", "TypeScript", "JSON", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\infoUser\information.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\infoUser\information.component.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\infoUser\information.component.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\listUser\listar.component.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\listUser\listar.component.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 0, 6, 81
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\listUser\listar.component.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 6, 8, 44
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\modUser\modpersona.component.html", "HTML", 0, 0, 0, 113, 0, 0, 0, 0, 0, 7, 120
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\modUser\modpersona.component.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 10, 57
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\registerUser\register.component.html", "HTML", 0, 0, 0, 114, 0, 0, 0, 0, 0, 10, 124
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\pages\users\registerUser\register.component.ts", "TypeScript", 0, 0, 0, 0, 88, 0, 0, 0, 9, 24, 121
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\users.component.html", "HTML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\home\users.component.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\enviroment.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 11, 7, 33
